Title,Description,Preconditions,Folder,State,Tags,Priority,Type of Test Case,Test Scenario Type,Test Execution Type,Layer,Operating System,Subscription,Template,Steps,Results,Feature,Scenario,Background,Automation Status,Automated Status,Owner
Handle Document Directory timeout,Validates that GET returns 504 when Document Directory does not respond within expected time,Valid token; Document Directory with latency > configured timeout; Customer Agreement available; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Performance,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Configure Document Directory to simulate timeout (latency > 30s expected)\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Include valid Authorization header\n4. Send request","1. HTTP Response 504 Gateway Timeout\n2. Request is cancelled after configured timeout\n3. Document information is not returned",,,,Manual,N/A,Joel Narro
Handle Redis unavailability,Validates that GET queries Business Account directly when Redis is unavailable,Valid token; Redis offline; Business Account available; Document Directory available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Disconnect Redis from ms-lending-bs\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Include valid Authorization header\n4. Validate that Business Account is queried directly\n5. Send request","1. HTTP Response 200 OK (successful fallback)\n2. Request completes by querying Business Account as fallback\n3. Documents are returned correctly\n4. Performance may be degraded (without cache)",,,,Automated,N/A,Joel Narro
Handle Document Directory unavailability,Validates that GET returns 503 when Document Directory is unavailable,Valid token; Redis available; Document Directory offline; Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Disconnect Document Directory\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Include valid Authorization header\n4. Send request","1. HTTP Response 503 Service Unavailable\n2. Body contains error indicating dependency unavailable\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
Handle Customer Agreement unavailability,Validates that GET returns 503 when Customer Agreement API is unavailable,Valid token; Redis available; Document Directory available; Customer Agreement offline,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Disconnect Customer Agreement API\n2. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Include valid Authorization header\n4. Send request","1. HTTP Response 503 Service Unavailable\n2. Body contains error indicating dependency unavailable\n3. Document information is not returned",,,,Automated,N/A,Joel Narro
Save approved consent and update commercial_approval,Validates that POST /v1/consents correctly persists approval decision in Customer Agreement and updates quotation topic,Valid token; customer with consent shown (idConsent in Redis); idConsent previously stored in Redis,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Validate that consent was shown to customer (idConsent exists in Redis)\n2. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n3. Include valid Authorization header\n4. Backend queries Redis to validate that idConsent was shown\n5. Backend queries Customer Agreement to determine CREATE or UPDATE operation\n6. Execute corresponding operation in Customer Agreement\n7. Save commercial_approval=TRUE in quotation topic","1. HTTP Response 200 OK\n2. Body is empty (no content)\n3. Customer Agreement returns update confirmation\n4. Field commercial_approval in topic contains TRUE\n5. Timestamp lastCustomerUpdated is updated with current date\n6. Redis cleans consent entry after successful POST",,,,Automated,N/A,Joel Narro
Save rejected consent and update commercial_approval,Validates that POST /v1/consents correctly persists consent rejection,Valid token; customer with consent shown (idConsent in Redis),Technical Tests > Backend > API Master Repository,Active,BS,Critical,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Validate that consent was shown to customer (idConsent exists in Redis)\n2. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: false}]}\n3. Include valid Authorization header\n4. Backend queries Redis to validate idConsent\n5. Backend queries Customer Agreement to determine CREATE or UPDATE operation\n6. Execute operation in Customer Agreement\n7. Save commercial_approval=FALSE in quotation topic","1. HTTP Response 200 OK\n2. Body is empty\n3. Customer Agreement returns confirmation\n4. Field commercial_approval in topic contains FALSE\n5. Timestamp lastCustomerUpdated contains current rejection date\n6. Redis cleans consent entry",,,,Automated,N/A,Joel Narro
Reject POST without authorization header,Validates that POST returns 401 when authorization header is absent,Redis available; Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Security,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with valid body\n2. Omit Authorization header\n3. Send request","1. HTTP Response 401 Unauthorized\n2. Body contains authentication error\n3. Consent is not persisted\n4. commercial_approval is NOT updated",,,,Automated,N/A,Joel Narro
Reject POST with invalid token,Validates that POST returns 401 when token is invalid,Redis available; Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Security,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with valid body\n2. Include Authorization header: Bearer invalid_token\n3. Send request","1. HTTP Response 401 Unauthorized\n2. Body contains authentication error\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST without body,Validates that POST returns 400 when body is empty,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents without body\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating invalid structure\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST without consents array,Validates that POST returns 400 when consents field is absent,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating consents is required\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST with empty consents array,Validates that POST returns 400 when consents array is empty,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: []}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating consents array must contain at least 1 element\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST with missing idConsent,Validates that POST returns 400 when idConsent is absent in consents element,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{isAccepted: true}]}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating idConsent is required\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST with missing isAccepted,Validates that POST returns 400 when isAccepted is absent,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus}]}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating isAccepted is required\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST with incorrect data type for isAccepted,Validates that POST returns 400 when isAccepted is string instead of boolean,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: ""true""}]}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains type validation error\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST with invalid idConsent format,Validates that POST returns 400 when idConsent is number instead of string,Valid token; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: 123; isAccepted: true}]}\n2. Include valid Authorization header\n3. Send request","1. HTTP Response 400 Bad Request\n2. Body contains error indicating idConsent must be string\n3. Consent is not persisted",,,,Automated,N/A,Joel Narro
Reject POST when idConsent does not exist in Redis,Validates that POST returns 400 or 409 when idConsent was not previously shown to customer (does not exist in Redis),Valid token; Redis available but without entry for requested idConsent,Technical Tests > Backend > API Master Repository,Active,BS,High,Security,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: fake_unknown_id; isAccepted: true}]}\n2. Include valid Authorization header\n3. Backend validates that idConsent exists in Redis\n4. idConsent does not exist in Redis (was not shown to customer)\n5. Send request","1. HTTP Response 400 Bad Request or 409 Conflict\n2. Body contains error indicating consent was not previously shown\n3. Consent is not persisted\n4. commercial_approval is NOT updated",,,,Automated,N/A,Joel Narro
Handle Customer Agreement failure during POST,Validates that POST returns 500 when Customer Agreement API fails,Valid token; Redis contains valid idConsent; Customer Agreement returns error,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Configure Customer Agreement to return error 500\n2. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n3. Include valid Authorization header\n4. Backend attempts to query Customer Agreement\n5. Customer Agreement returns 500 Internal Server Error\n6. Send request","1. HTTP Response 500 Internal Server Error\n2. Body contains server error\n3. Consent is not persisted\n4. commercial_approval is NOT updated\n5. Redis preserves consent entry for retry",,,,Automated,N/A,Joel Narro
Handle Customer Agreement unavailability during POST,Validates that POST returns 503 when Customer Agreement API is unavailable,Valid token; Redis contains valid idConsent; Customer Agreement offline,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Disconnect Customer Agreement API\n2. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n3. Include valid Authorization header\n4. Send request","1. HTTP Response 503 Service Unavailable\n2. Body contains error indicating dependency unavailable\n3. Consent is not persisted\n4. commercial_approval is NOT updated",,,,Automated,N/A,Joel Narro
Idempotent handling of duplicate consent (concurrency),Validates behavior when customer sends POST twice with same idConsent in concurrent sessions/requests,Valid token; Redis contains idConsent; Customer Agreement updated in request 1,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Session 1: Send POST /v1/consents {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n2. Backend session 1 persists to Customer Agreement successfully (200 OK)\n3. Session 2 (concurrent): Send POST /v1/consents with SAME idConsent\n4. Backend session 2 attempts to update Customer Agreement again\n5. Both sessions complete","1. Session 1: Response 200 OK\n2. Session 2: Response 200 OK (idempotent) OR 409 Conflict (if concurrency control implemented)\n3. Field commercial_approval contains correct value without duplication\n4. Timestamp lastCustomerUpdated reflects session 1 (concurrency winner)",,,,Manual,N/A,Joel Narro
Successful BFF POST call during consent creation,Validates that BFF POST /v1/consents/lending/cross is called correctly after approval in ms-lending-bs,Valid token; ms-lending-bs returns 200 OK; BFF available and operational,Technical Tests > Backend > API Master Repository,Active,BFF,Critical,Functional,Happy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Customer approves consent in GET\n2. Customer sends POST /v1/consents with isAccepted: true\n3. Backend ms-lending-bs processes successfully (200 OK)\n4. Backend ms-lending-bs calls BFF POST /v1/consents/lending/cross\n5. BFF receives body {consents: [{consentId; documentVersionId; customerAgreementStatus}]}\n6. BFF persists in quotation topic","1. BFF POST returns 204 No Content\n2. Quotation topic contains comercial_approval: true\n3. No error is shown to user (silent in FE)",,,,Automated,N/A,Joel Narro
Handle BFF failure without interrupting flow,Validates that BFF failure does NOT halt quotation flow (acceptance criterion 3.b),Valid token; ms-lending-bs returns 200 OK; BFF returns 500 or timeout,Technical Tests > Backend > API Master Repository,Active,BFF,Critical,Functional,UnHappy Path,Smoke,BE,N/A,N/A,Test Case Steps,"1. Customer approves consent\n2. Customer sends POST /v1/consents with isAccepted: true\n3. Backend ms-lending-bs processes (200 OK)\n4. Backend ms-lending-bs calls BFF POST /v1/consents/lending/cross\n5. BFF returns 500 Internal Server Error or timeout\n6. Validate that BFF error does NOT interrupt flow","1. ms-lending-bs returns 200 OK to FE (local success)\n2. No error is shown to user (fail-safe)\n3. Quotation flow continues to next step\n4. Information is persisted in ms-lending-bs but NOT in quotation topic\n5. Log in ms-lending-bs records BFF failure for audit",,,,Automated,N/A,Joel Narro
BFF POST without authorization header,Validates that BFF rejects POST when authorization is absent,ms-lending-bs available,Technical Tests > Backend > API Master Repository,Active,BFF,High,Security,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Backend ms-lending-bs prepares POST to BFF\n2. Send POST /v1/consents/lending/cross without authorization header\n3. Send request","1. BFF returns 401 Unauthorized\n2. ms-lending-bs captures error and does not interrupt flow (criterion 3.b)\n3. Information is not persisted in quotation topic",,,,Automated,N/A,Joel Narro
BFF POST with invalid payload,Validates that BFF rejects POST when body structure is invalid,ms-lending-bs available,Technical Tests > Backend > API Master Repository,Active,BFF,High,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Backend ms-lending-bs prepares POST to BFF with malformed payload\n2. Send POST /v1/consents/lending/cross with body {consents: [{consentId: 123}]} (missing documentVersionId; customerAgreementStatus)\n3. Send request","1. BFF returns 400 Bad Request\n2. ms-lending-bs captures error and does not interrupt flow (criterion 3.b)\n3. Information is not persisted in quotation topic",,,,Automated,N/A,Joel Narro
Redis cache is cleaned after successful POST,Validates that consent entry in Redis is removed after saving to Customer Agreement,Valid token; idConsent previously in Redis; POST successful,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Validate that {idConsent: customerAgreementStatus} exists in Redis before POST\n2. Send POST /v1/consents with isAccepted: true\n3. Backend processes and persists to Customer Agreement (200 OK)\n4. Backend must clean entry in Redis\n5. Validate Redis after POST","1. HTTP Response 200 OK\n2. Consent entry does NOT exist in Redis after POST\n3. Key was deleted correctly\n4. If customer performs GET again; cached consent is not found",,,,Manual,N/A,Joel Narro
Validate GET response contract (JSON Schema structure),Validates that GET response structure complies with JSON Schema contract,Valid token; new customer; all dependencies available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Acceptance,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include valid Authorization header\n3. Parse response JSON\n4. Validate structure against specified JSON Schema\n5. Validate data types; required fields; formats","1. HTTP Response 200 OK\n2. JSON validates correctly against schema\n3. 'data' array contains objects with correct structure\n4. Each object has: id (string); versionId (string); summary (string); show (boolean); lastCustomerUpdated (timestamp or null); customerAgreementLastState (enum); url (URI)\n5. No additional undocumented fields are present (strict validation)",,,,Automated,N/A,Joel Narro
Validate POST response contract (no content),Validates that POST response is 200 OK with empty body,Valid token; valid idConsent in Redis; Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Acceptance,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n2. Include valid Authorization header\n3. Parse response\n4. Validate that body is null or empty","1. HTTP Response 200 OK\n2. Content-Length is 0 or body is empty string\n3. No additional JSON payload present\n4. Headers include Content-Type: application/json (if specified)",,,,Automated,N/A,Joel Narro
Validation of multiple products in query param,Validates that GET correctly handles multiple productAgreements separated by comma,Valid token; customer with access to multiple products,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP,PDP_GRUPO\n2. Include valid Authorization header\n3. Validate that both products are queried","1. HTTP Response 200 OK\n2. 'data' array contains documents from both products (PDP_BCP and PDP_GRUPO)\n3. Each document is correctly associated to its product\n4. No document duplication exists",,,,Automated,N/A,Joel Narro
Validation of query param with spaces,Validates GET behavior when query param contains URL-encoded spaces,Valid token,Technical Tests > Backend > API Master Repository,Active,BS,Low,Functional,UnHappy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP%20PDP_GRUPO (with URL-encoded space)\n2. Include valid Authorization header\n3. Validate parameter parsing","1. HTTP Response 400 Bad Request (if space is invalid)\n2. OR HTTP Response 200 OK if correctly normalized\n3. Behavior must be consistent and documented",,,,Automated,N/A,Joel Narro
Validate required headers in GET,Validates that only Authorization is required; other optional headers do not generate error,Valid token; new customer,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n2. Include only Authorization header: Bearer valid_token\n3. Omit other headers (Content-Type; User-Agent; etc.)\n4. Send request","1. HTTP Response 200 OK\n2. Documents are returned correctly\n3. Absence of optional headers does not generate error",,,,Automated,N/A,Joel Narro
Validate required headers in POST,Validates that Authorization is required in POST,Valid token; valid idConsent,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Send POST /v1/consents with body {consents: [{idConsent: customerAgreementStatus; isAccepted: true}]}\n2. Include only Authorization header: Bearer valid_token\n3. Omit other optional headers\n4. Send request","1. HTTP Response 200 OK\n2. Consent is persisted correctly\n3. Absence of optional headers does not generate error",,,,Automated,N/A,Joel Narro
Regression: Validate complete flow GET -> POST,Validates end-to-end flow: consult documents; receive checkbox; approve; and save state,Valid token; new customer; all dependencies available; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,Critical,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Execute GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP (response show: true)\n2. Backend stores idConsent in Redis\n3. FE displays checkbox to customer\n4. Customer approves (checkbox marked)\n5. Execute POST /v1/consents with isAccepted: true\n6. Backend validates idConsent in Redis\n7. Backend queries Customer Agreement (is new)\n8. Backend executes POST /customer-agreements/evaluate\n9. Backend calls BFF POST\n10. Backend cleans Redis\n11. Execute GET again in subsequent session","1. GET 1 returns 200 OK with show: true\n2. POST returns 200 OK\n3. Customer Agreement is updated successfully\n4. commercial_approval in topic contains true\n5. BFF receives POST 204 No Content\n6. GET 2 returns 200 OK with show: false (consent already approved)\n7. Checkbox is not shown again",,,,Automated,N/A,Joel Narro
Regression: Validate flow with rejection and retry,Validates flow: reject; wait for expiration; retry,Valid token; customer with expired previous rejection; Redis available,Technical Tests > Backend > API Master Repository,Active,BS,High,Functional,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Execute GET (response show: false; documentAcceptanceRemainingDays > 0)\n2. Customer cannot act\n3. Simulate period expiration (documentAcceptanceRemainingDays = 0)\n4. Execute GET again (response show: true)\n5. FE displays checkbox again\n6. Customer approves on retry\n7. Execute POST with isAccepted: true","1. GET 1 returns show: false\n2. GET 2 (after expiration) returns show: true\n3. POST returns 200 OK\n4. commercial_approval is updated to true\n5. Grace period is reset for future rejections",,,,Automated,N/A,Joel Narro
Performance: Validate GET latency within SLA,Validates that GET responds within defined SLA (gap: SLA not documented; assume < 500ms),Valid token; new customer; all dependencies available; normal load,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Performance,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Measure request start time GET\n2. Execute GET /v1/consents/documents/lending/cross?productAgreements=PDP_BCP\n3. Measure response completion time\n4. Calculate total latency\n5. Repeat 10 times to average","1. Average latency < 500ms (assumed SLA; verify actual documentation)\n2. Maximum latency < 1000ms\n3. p95 and p99 latencies within tolerance\n4. No performance degradation with multiple products",,,,Automated,N/A,Joel Narro
Performance: Validate POST latency within SLA,Validates that POST responds within defined SLA (gap: SLA not documented; assume < 500ms),Valid token; valid idConsent; Customer Agreement available,Technical Tests > Backend > API Master Repository,Active,BS,Medium,Performance,Happy Path,Regression,BE,N/A,N/A,Test Case Steps,"1. Measure request start time POST\n2. Execute POST /v1/consents with valid body\n3. Measure response completion time\n4. Calculate total latency\n5. Repeat 10 times to average","1. Average latency < 500ms (assumed SLA)\n2. Maximum latency < 1000ms\n3. p95 and p99 latencies within tolerance",,,,Automated,N/A,Joel Narro
